sample	barcode			
HG03593	barcode97			
HG03817	barcode105			
HG03931	barcode113			
HG04156	barcode121			
HG00844	barcode129			
HG01797	barcode137			
HG02151	barcode145			
HG02377	barcode153			
HG02390	barcode161			
HG00451	barcode169			
HG00566	barcode177			
HG00614	barcode185			
HG00657	barcode98			
HG00105	barcode106			
HG00122	barcode114			
HG00139	barcode122			
HG00231	barcode130			
HG00259	barcode138			
NA20877	barcode146			
NA20899	barcode154			
NA21095	barcode162			
NA21125	barcode170			
HG03742	barcode178			
HG03781	barcode186			
HG03965	barcode99			
HG04020	barcode107			
HG04212	barcode115			
NA18960	barcode123			
NA18985	barcode131			
NA19054	barcode139			
NA19077	barcode147			
NA19030	barcode155			
NA19332	barcode163			
NA19380	barcode171			
NA19435	barcode179			
HG03052	barcode187			
HG03079	barcode100			
HG03397	barcode108			
HG03446	barcode116			
HG03558	barcode124			
HG02600	barcode132			
HG02694	barcode140			
HG02784	barcode148			
HG03625	barcode156			
NA18499	barcode164			
NA18874	barcode172			
NA19114	barcode180			
NA19201	barcode188			
HG03600	barcode101			
HG03824	barcode109			
HG03934	barcode117			
HG04159	barcode125			
HG00851	barcode133			
HG01799	barcode141			
HG02155	barcode149			
HG02379	barcode157			
HG02391	barcode165			
HG00475	barcode173			
HG00583	barcode181			
HG00625	barcode189			
HG00672	barcode102			
HG00107	barcode110			
HG00123	barcode118			
HG00141	barcode126			
HG00240	barcode134			
HG00264	barcode142			
NA20878	barcode150			
NA20901	barcode158			
NA21097	barcode166			
NA21127	barcode174			
HG03772	barcode182			
HG03785	barcode190			
HG03971	barcode103			
HG04056	barcode111			
NA18940	barcode119			
NA18963	barcode127			
NA18993	barcode135			
NA19055	barcode143			
NA19078	barcode151			
NA19038	barcode159			
NA19338	barcode167			
NA19391	barcode175			
NA19437	barcode183			
HG03054	barcode191			
HG03085	barcode104			
HG03419	barcode112			
HG03457	barcode120			
HG03559	barcode128			
HG02603	barcode136			
HG02696	barcode144			
HG02792	barcode152			
HG03636	barcode160			
NA18501	barcode168			
NA18915	barcode176			
NA19129	barcode184			
NA19204	barcode192			
